Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,11356,11413,11241,10823,10437,10268,9931,9821,9636,9184,8789,8403
1,Totale,11542,11388,11424,11208,10774,10380,10277,9910,9779,9616,9269,8969
2,Totale,11604,11568,11389,11408,11195,10750,10389,10250,9907,9778,9620,9462
3,Totale,11735,11632,11549,11379,11406,11177,10743,10335,10211,9872,9808,9814
4,Totale,11958,11795,11672,11545,11380,11415,11174,10713,10316,10202,9865,10048
5,Totale,12418,11966,11825,11667,11522,11367,11444,11162,10695,10269,10258,10109
6,Totale,12473,12452,11990,11824,11673,11549,11365,11421,11176,10682,10288,10423
7,Totale,12393,12509,12446,11984,11820,11668,11548,11347,11391,11163,10709,10483
8,Totale,12814,12432,12545,12450,11976,11814,11633,11540,11345,11384,11182,10901
9,Totale,13097,12903,12446,12537,12465,11984,11827,11612,11529,11344,11399,11374
10,Totale,13030,13174,12934,12437,12533,12427,11974,11802,11630,11526,11348,11608
11,Totale,12941,13095,13221,12932,12449,12514,12432,11979,11798,11616,11538,11537
12,Totale,13090,12995,13128,13211,12929,12452,12521,12390,11986,11795,11634,11756
13,Totale,13539,13175,13055,13113,13203,12915,12432,12510,12358,11984,11801,11835
14,Totale,13426,13598,13213,13021,13107,13212,12905,12415,12525,12330,11992,11994
15,Totale,13572,13480,13646,13197,13045,13099,13197,12867,12401,12521,12339,12191
16,Totale,14026,13647,13537,13639,13188,13038,13117,13174,12862,12382,12533,12510
17,Totale,14667,14113,13705,13537,13630,13171,13050,13099,13196,12860,12382,12689
18,Totale,14893,14805,14237,13713,13587,13650,13215,13095,13145,13245,12918,12505
19,Totale,14845,14988,14879,14286,13712,13621,13693,13274,13193,13171,13237,12998
20,Totale,14790,14909,15033,14905,14280,13712,13639,13710,13306,13167,13138,13306
21,Totale,15547,14876,14939,15047,14907,14228,13730,13609,13755,13295,13103,13146
22,Totale,14999,15640,14907,14954,15032,14894,14216,13669,13639,13686,13187,13129
23,Totale,14906,15113,15649,14896,14931,14965,14866,14164,13645,13557,13614,13155
