Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,3933,3859,3644,3439,3312,3408,3120,3216,3100,2953,2856,2761
1,Totale,3938,3940,3858,3632,3449,3327,3383,3114,3231,3105,2961,2878
2,Totale,4112,3959,3950,3848,3633,3469,3331,3348,3090,3213,3092,2999
3,Totale,4157,4126,3986,3940,3865,3635,3476,3333,3322,3095,3225,3119
4,Totale,4184,4186,4135,3968,3926,3872,3641,3479,3343,3296,3087,3259
5,Totale,4336,4195,4189,4144,3967,3923,3856,3637,3479,3356,3285,3140
6,Totale,4370,4341,4185,4173,4127,3964,3908,3841,3626,3482,3351,3295
7,Totale,4551,4388,4351,4192,4173,4134,3954,3897,3840,3625,3483,3368
8,Totale,4477,4573,4393,4341,4187,4172,4122,3933,3892,3824,3620,3496
9,Totale,4732,4495,4582,4381,4334,4192,4164,4105,3929,3882,3820,3643
10,Totale,4710,4750,4507,4572,4372,4330,4182,4154,4090,3912,3898,3837
11,Totale,4472,4722,4757,4492,4557,4384,4316,4173,4139,4066,3916,3928
12,Totale,4707,4491,4729,4749,4481,4559,4379,4307,4149,4121,4065,3946
13,Totale,4593,4727,4505,4723,4735,4466,4549,4371,4311,4145,4129,4087
14,Totale,4611,4601,4730,4497,4709,4730,4462,4518,4347,4313,4146,4149
15,Totale,4873,4626,4597,4723,4484,4699,4724,4441,4513,4329,4313,4177
16,Totale,4692,4895,4647,4600,4713,4478,4692,4714,4431,4505,4317,4343
17,Totale,4987,4706,4896,4628,4596,4718,4475,4689,4692,4429,4501,4335
18,Totale,5098,5003,4712,4890,4616,4609,4719,4485,4736,4688,4436,4500
19,Totale,5013,5096,5025,4690,4893,4640,4623,4722,4540,4734,4687,4435
20,Totale,4998,5026,5097,5006,4680,4891,4625,4602,4712,4531,4711,4656
21,Totale,4972,5011,5023,5090,4982,4674,4880,4629,4597,4704,4490,4644
22,Totale,4945,4999,5005,5001,5088,4974,4666,4864,4602,4578,4673,4394
23,Totale,4949,4960,5007,5008,4979,5075,4949,4629,4815,4583,4531,4540
24,Totale,4737,4956,4954,5003,4980,4979,5050,4911,4584,4761,4535,4365
25,Totale,4981,4737,4918,4892,4960,4966,4939,4939,4861,4524,4657,4363
26,Totale,4994,4991,4690,4883,4851,4950,4890,4868,4830,4780,4443,4482
27,Totale,5104,4952,4946,4639,4825,4829,4868,4815,4773,4772,4647,4225
28,Totale,5059,5086,4916,4889,4587,4787,4779,4789,4700,4675,4643,4479
29,Totale,5227,5028,5023,4831,4829,4535,4738,4710,4684,4643,4576,4471
30,Totale,5447,5200,4998,4955,4794,4793,4464,4685,4616,4612,4561,4400
31,Totale,5682,5411,5151,4951,4920,4793,4732,4396,4629,4566,4520,4427
32,Totale,5892,5667,5376,5119,4923,4917,4765,4653,4345,4572,4498,4362
33,Totale,5919,5888,5610,5332,5085,4882,4881,4686,4596,4317,4495,4384
34,Totale,6028,5926,5874,5578,5308,5082,4847,4811,4631,4547,4243,4387
