Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,3581,3412,3307,3198,3240,3069,2891,2818,2689,2570,4389,4320
1,Totale,3533,3621,3401,3300,3176,3230,3052,2882,2802,2677,4458,4440
2,Totale,3529,3567,3638,3412,3314,3167,3218,3035,2878,2802,4701,4520
3,Totale,3571,3552,3571,3639,3399,3316,3171,3202,3012,2863,4921,4785
4,Totale,3557,3575,3561,3573,3636,3396,3316,3161,3193,3005,5072,5039
5,Totale,3743,3593,3590,3564,3567,3632,3374,3321,3169,3195,5194,5184
6,Totale,3669,3775,3635,3615,3567,3554,3617,3372,3313,3163,5314,5267
7,Totale,3857,3686,3796,3628,3594,3558,3547,3619,3362,3313,5385,5345
8,Totale,3894,3863,3707,3793,3632,3585,3554,3541,3611,3359,5523,5416
9,Totale,3949,3933,3875,3712,3791,3615,3583,3551,3527,3589,5786,5579
10,Totale,4056,3967,3943,3869,3693,3783,3605,3575,3542,3518,6058,5864
11,Totale,4021,4076,3993,3953,3861,3690,3768,3584,3562,3541,6107,6113
12,Totale,3962,4066,4088,3991,3943,3851,3676,3754,3580,3553,6070,6154
13,Totale,403964,3992,4084,4093,3985,3928,3833,3678,3731,3571,6141,6114
14,Totale,403964,4183,4006,4074,4101,3971,3917,3831,3644,3708,6331,6194
15,Totale,403964,4146,4206,4013,4071,4107,3977,3913,3816,3635,6588,6420
16,Totale,403964,4312,4156,4213,4000,4071,4107,3968,3892,3816,6668,6682
17,Totale,403964,4625,4323,4144,4209,4009,4059,4108,3960,3893,6732,6741
18,Totale,403964,4931,4641,4339,4145,4202,4005,4076,4143,4007,6878,6760
19,Totale,403964,4853,4948,4648,4323,4149,4213,4003,4123,4160,7065,6889
20,Totale,403964,4985,4855,4941,4636,4308,4124,4197,4009,4095,7248,7139
21,Totale,403964,4935,4988,4839,4918,4620,4302,4111,4191,3997,7407,7262
22,Totale,403964,4952,4930,4992,4815,4889,4591,4278,4115,4173,7234,7384
23,Totale,403964,5062,4962,4933,4962,4787,4860,4587,4262,4115,7034,7147
24,Totale,403964,4758,5031,4911,4890,4920,4720,4806,4538,4231,6927,6912
25,Totale,403964,5107,4708,5007,4883,4826,4859,4669,4751,4488,7052,6775
26,Totale,403964,5048,5046,4683,4954,4814,4716,4790,4565,4696,7139,6838
27,Totale,403964,4970,5004,4986,4581,4930,4743,4669,4663,4467,7501,6925
28,Totale,403964,5089,4901,4933,4928,4496,4834,4660,4613,4543,7155,7221
29,Totale,403964,4988,5038,4815,4848,4895,4451,4764,4589,4496,7274,6959
30,Totale,403964,5095,4946,4949,4775,4755,4835,4413,4670,4534,7149,7089
31,Totale,403964,5443,5035,4877,4898,4716,4669,4742,4366,4612,7127,6956
32,Totale,403964,5503,5371,4995,4823,4848,4637,4610,4666,4345,7051,6909
33,Totale,403964,5644,5473,5322,4973,4765,4778,4593,4565,4606,6871,6890
34,Totale,403964,5909,5630,5430,5304,4907,4708,4737,4537,4523,6724,6765
