Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,6732,6805,6536,6506,6213,5913,5669,5606,5411,5237,4981,4821
1,Totale,7029,6722,6775,6525,6459,6186,5902,5677,5570,5362,5284,5075
2,Totale,7075,7053,6728,6780,6523,6441,6212,5901,5697,5585,5392,5365
3,Totale,6981,7091,7083,6751,6769,6515,6450,6232,5891,5688,5590,5499
4,Totale,7190,6998,7122,7065,6768,6777,6514,6466,6266,5883,5692,5723
5,Totale,7595,7231,7033,7158,7051,6770,6805,6542,6502,6241,5926,5816
6,Totale,7612,7629,7258,7047,7149,7049,6792,6832,6557,6522,6246,5991
7,Totale,7577,7639,7649,7239,7051,7155,7054,6775,6854,6555,6520,6312
8,Totale,7892,7610,7655,7645,7232,7045,7165,7078,6783,6837,6565,6581
9,Totale,8025,7960,7631,7642,7620,7231,7066,7163,7072,6778,6883,6634
10,Totale,7757,8086,8015,7634,7640,7627,7228,7042,7166,7069,6782,6960
11,Totale,7892,7813,8136,8019,7615,7656,7623,7245,7051,7164,7077,6834
12,Totale,7825,7959,7844,8143,7997,7597,7652,7617,7230,7035,7175,7154
13,Totale,7931,7884,7981,7844,8128,7981,7597,7632,7619,7223,7058,7230
14,Totale,8208,7975,7940,7986,7835,8112,7977,7583,7633,7603,7247,7124
15,Totale,8397,8269,8002,7932,7972,7815,8100,7961,7565,7629,7634,7316
16,Totale,8942,8446,8309,7998,7927,7976,7792,8088,7975,7565,7649,7700
17,Totale,9401,9004,8480,8313,8000,7943,8002,7791,8073,7981,7600,7747
18,Totale,9357,9461,9054,8491,8308,8017,7977,8091,7847,8135,8037,7647
19,Totale,9268,9430,9496,9083,8477,8300,8036,8034,8207,7936,8150,8057
20,Totale,9218,9283,9449,9509,9060,8470,8295,8040,8071,8217,7932,8140
21,Totale,9581,9241,9319,9453,9485,9029,8494,8280,8043,8054,8148,7850
22,Totale,9243,9609,9253,9300,9392,9438,9011,8438,8265,8048,7987,8072
23,Totale,9245,9289,9620,9227,9277,9339,9396,8921,8361,8227,7985,7856
24,Totale,9519,9245,9275,9553,9168,9180,9252,9316,8822,8259,8127,7803
25,Totale,9787,9457,9211,9192,9451,9021,9110,9142,9239,8691,8102,7883
26,Totale,9797,9779,9448,9109,9047,9293,8917,8979,9035,9107,8507,7835
27,Totale,9891,9743,9671,9318,8963,8911,9166,8762,8807,8861,8854,8202
28,Totale,10157,9813,9658,9510,9152,8831,8815,8998,8627,8624,8660,8546
29,Totale,10465,10012,9688,9486,9331,8954,8719,8669,8872,8461,8448,8349
30,Totale,10978,10377,9965,9591,9279,9199,8835,8594,8548,8721,8320,8148
31,Totale,11345,10896,10265,9845,9418,9133,9156,8759,8448,8402,8562,8037
32,Totale,11430,11302,10786,10204,9734,9339,9087,9067,8672,8361,8271,8332
33,Totale,11961,11357,11185,10656,10096,9643,9310,9043,9010,8580,8279,8098
34,Totale,11830,11993,11337,11113,10563,10012,9607,9244,9011,8944,8516,8130
35,Totale,12140,11898,11950,11263,11044,10526,10007,9562,9228,8961,8881,8386
36,Totale,11748,12226,11963,11896,11218,11006,10566,9931,9552,9190,8902,8749
37,Totale,11292,11816,12281,11936,11903,11205,10968,10583,9920,9486,9190,8794
38,Totale,11663,11362,11873,12269,11961,11884,11220,10920,10605,9898,9476,9091
39,Totale,11811,11757,11418,11867,12248,11930,11890,11234,10895,10580,9857,9391
40,Totale,12051,11890,11815,11407,11864,12237,11935,11880,11200,10874,10580,9835
41,Totale,12223,12161,11928,11819,11420,11875,12223,11936,11847,11177,10854,10541
42,Totale,12361,12310,12231,11898,11841,11409,11888,12217,11939,11840,11144,10753
43,Totale,12674,12444,12359,12219,11921,11827,11414,11848,12192,11892,11832,11086
44,Totale,12472,12766,12481,12365,12216,11934,11837,11403,11801,12179,11899,11754
45,Totale,12740,12537,12821,12489,12369,12221,11917,11833,11405,11768,12154,11814
46,Totale,11859,12808,12570,12820,12487,12335,12199,11913,11823,11360,11768,12074
47,Totale,11579,11928,12831,12550,12815,12487,12306,12181,11878,11791,11385,11731
48,Totale,11329,11641,11969,12821,12522,12797,12499,12284,12117,11838,11811,11328
49,Totale,11206,11387,11663,11973,12784,12491,12779,12476,12238,12088,11831,11755
50,Totale,10898,11235,11414,11642,11918,12772,12452,12755,12467,12188,12090,11736
51,Totale,10185,10913,11272,11389,11616,11878,12757,12420,12680,12403,12183,12043
52,Totale,10566,10217,10926,11265,11362,11581,11890,12739,12376,12605,12380,12107
53,Totale,10433,10606,10228,10906,11240,11330,11528,11859,12702,12344,12553,12316
54,Totale,10562,10484,10605,10187,10886,11208,11296,11500,11823,12666,12335,12473
55,Totale,10032,10597,10484,10582,10161,10842,11168,11270,11442,11763,12656,12285
56,Totale,10282,10077,10611,10455,10547,10104,10800,11177,11237,11390,11730,12523
57,Totale,9415,10304,10076,10563,10397,10524,10074,10766,11139,11176,11393,11635
58,Totale,10403,9437,10303,10023,10528,10354,10468,10034,10709,11090,11183,11326
59,Totale,10551,10420,9419,10250,9977,10473,10309,10433,9988,10661,11072,11074
60,Totale,10313,10574,10407,9360,10197,9935,10449,10246,10379,9943,10637,10981
61,Totale,11190,10335,10561,10359,9282,10154,9880,10396,10191,10332,9922,10561
62,Totale,10827,11182,10327,10477,10314,9232,10071,9831,10362,10089,10303,9856
63,Totale,10666,10832,11134,10251,10400,10258,9181,10018,9766,10315,10060,10224
64,Totale,8854,10658,10784,11044,10166,10323,10192,9129,9965,9724,10290,9975
65,Totale,7992,8823,10630,10688,10980,10097,10270,10113,9058,9907,9689,10198
66,Totale,8709,7974,8784,10538,10575,10889,10012,10214,10042,8981,9862,9608
67,Totale,8760,8689,7929,8690,10398,10489,10785,9919,10141,9964,8940,9793
68,Totale,8305,8732,8617,7820,8583,10285,10393,10680,9814,10056,9924,8919
69,Totale,8782,8234,8672,8521,7702,8476,10138,10264,10553,9699,9991,9888
70,Totale,9371,8699,8159,8532,8393,7621,8373,9968,10102,10419,9591,9930
71,Totale,8944,9274,8609,8042,8387,8261,7494,8243,9830,9973,10285,9552
72,Totale,7906,8858,9147,8484,7890,8228,8104,7391,8084,9647,9857,10225
73,Totale,7662,7774,8715,8990,8293,7766,8052,7925,7220,7923,9509,9763
74,Totale,7783,7518,7648,8554,8800,8131,7607,7881,7762,7071,7790,9415
75,Totale,7440,7618,7374,7475,8328,8591,7953,7425,7696,7589,6938,7718
76,Totale,7268,7266,7437,7190,7281,8129,8378,7748,7247,7483,7426,6810
77,Totale,7014,7091,7051,7213,6972,7056,7862,8143,7497,7036,7317,7309
78,Totale,6887,6798,6881,6818,6993,6797,6826,7627,7866,7266,6884,7176
79,Totale,7106,6610,6571,6623,6560,6779,6547,6614,7350,7635,7028,6715
80,Totale,6332,6797,6356,6289,6314,6308,6467,6300,6330,7045,7394,6824
81,Totale,5702,6042,6481,6058,5995,6034,6027,6216,5981,6057,6757,7167
82,Totale,5328,5408,5748,6129,5752,5675,5701,5744,5893,5665,5802,6492
83,Totale,4626,4983,5091,5384,5754,5423,5367,5369,5389,5540,5370,5548
84,Totale,4005,4305,4578,4717,5012,5385,5020,4978,4971,5056,5205,5031
85,Totale,3539,3709,3942,4207,4349,4643,4956,4635,4606,4577,4718,4924
86,Totale,3252,3234,3354,3565,3840,3986,4213,4561,4206,4261,4249,4350
87,Totale,2842,2939,2924,2995,3235,3508,3590,3773,4137,3834,3908,3927
88,Totale,2143,2532,2602,2597,2664,2886,3099,3264,3323,3699,3466,3527
89,Totale,2052,1893,2188,2271,2322,2360,2462,2720,2873,2906,3278,3088
90,Totale,1164,1793,1650,1855,1935,1987,2013,2135,2338,2462,2500,2890
91,Totale,788,978,1528,1389,1548,1614,1653,1700,1776,1977,2070,2121
92,Totale,632,658,815,1226,1157,1292,1321,1385,1392,1489,1652,1719
93,Totale,636,511,538,670,1014,931,1038,1089,1100,1122,1210,1348
94,Totale,566,471,407,416,543,802,722,814,848,888,889,963
95,Totale,425,464,371,316,330,428,617,570,607,659,689,677
96,Totale,292,348,357,262,245,264,322,453,421,477,493,516
97,Totale,213,227,267,246,188,180,195,244,333,311,369,373
98,Totale,137,166,173,181,184,143,128,147,177,237,224,271
99,Totale,98,102,127,115,126,132,103,85,102,121,161,152
100 e oltre,Totale,112,142,180,212,206,206,195,206,171,180,193,239
Totale,Totale,812271,814923,815462,812490,808602,804812,800949,796925,791902,786408,782165,776230
