"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",124,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",115,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2012","2012",144,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2013","2013",118,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2014","2014",131,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2015","2015",132,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",130,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",129,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2018","2018",139,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2019","2019",147,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2020","2020",142,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2021","2021",145,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2010","2010",131,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2011","2011",161,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2012","2012",138,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2013","2013",131,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2014","2014",121,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2015","2015",146,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",144,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",169,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2018","2018",151,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2019","2019",167,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2020","2020",154,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2021","2021",130,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2010","2010",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2011","2011",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2012","2012",14,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2013","2013",13,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2014","2014",11,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2015","2015",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2016","2016",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2017","2017",13,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2018","2018",17,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2019","2019",16,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2020","2020",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2021","2021",16,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2010","2010",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2011","2011",4,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2012","2012",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2013","2013",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2014","2014",12,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2015","2015",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2016","2016",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2017","2017",7,,
