Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,5823,5364,5196,5095,4798,4830,4449,4316,4190,3848,3727,3589
1,Totale,5460,5349,5312,5188,5081,4773,4784,4429,4270,4171,3862,3795
2,Totale,5472,5398,5345,5313,5216,5090,4737,4758,4390,4241,4169,3941
3,Totale,5394,5457,5364,5355,5327,5195,5064,4724,4742,4373,4240,4244
4,Totale,5552,5453,5448,5362,5366,5317,5175,5032,4695,4733,4385,4325
5,Totale,5657,5602,5509,5444,5356,5349,5315,5181,5030,4676,4743,4467
6,Totale,5664,5687,5609,5530,5466,5361,5326,5306,5187,5009,4675,4787
7,Totale,5627,5749,5715,5621,5524,5481,5351,5325,5304,5171,5014,4727
8,Totale,5874,5709,5828,5726,5621,5525,5479,5345,5314,5295,5164,5062
9,Totale,5880,5902,5763,5835,5742,5625,5502,5456,5327,5296,5294,5220
10,Totale,5806,5906,5919,5759,5848,5711,5629,5503,5448,5324,5288,5380
11,Totale,5861,5810,5918,5908,5773,5828,5711,5601,5478,5438,5322,5375
12,Totale,5952,5885,5820,5925,5911,5773,5826,5692,5574,5479,5416,5397
13,Totale,6024,5976,5901,5813,5930,5899,5773,5823,5693,5569,5476,5510
14,Totale,6181,6025,5985,5871,5799,5895,5884,5754,5812,5695,5572,5563
15,Totale,6284,6195,6047,5973,5865,5787,5898,5882,5747,5804,5684,5663
16,Totale,6578,6298,6205,6044,5976,5854,5780,5885,5887,5755,5801,5735
17,Totale,6911,6584,6318,6199,6042,5980,5864,5800,5932,5883,5738,5883
18,Totale,6816,6929,6595,6319,6214,6059,6002,5967,5989,5972,5881,5778
19,Totale,6957,6810,6950,6583,6302,6204,6062,6042,6037,6037,5965,5904
20,Totale,6900,6948,6813,6931,6567,6297,6193,6067,6046,6034,5979,5956
21,Totale,7165,6927,6941,6791,6916,6532,6264,6179,6078,6031,5958,5940
22,Totale,6951,7149,6924,6922,6761,6879,6502,6227,6154,6026,5984,5886
23,Totale,7233,6929,7137,6882,6883,6721,6830,6451,6137,6098,5952,5903
24,Totale,7121,7196,6890,7084,6827,6808,6682,6744,6389,6070,5952,5822
25,Totale,7392,7087,7140,6832,6982,6790,6730,6595,6628,6292,5919,5767
26,Totale,7458,7278,6995,7070,6740,6875,6673,6601,6468,6470,6096,5750
27,Totale,7343,7368,7203,6872,6960,6666,6765,6576,6481,6302,6268,5903
28,Totale,7672,7227,7277,7099,6756,6874,6546,6649,6396,6343,6114,6044
29,Totale,7790,7531,7146,7129,6968,6687,6772,6455,6517,6231,6163,5876
30,Totale,8113,7672,7449,7023,6990,6860,6585,6635,6329,6385,6076,5994
31,Totale,8314,8059,7534,7327,6964,6880,6764,6540,6514,6214,6276,5919
32,Totale,8711,8228,7925,7459,7222,6865,6802,6671,6427,6444,6119,6143
33,Totale,8839,8689,8134,7874,7385,7148,6799,6747,6614,6336,6346,6002
34,Totale,9130,8836,8638,8043,7833,7351,7119,6726,6693,6572,6279,6247
35,Totale,9151,9096,8796,8577,8008,7800,7311,7045,6654,6634,6503,6240
36,Totale,8768,9170,9106,8738,8536,7965,7779,7270,7007,6636,6591,6458
37,Totale,8692,8753,9154,9041,8724,8517,7928,7739,7197,6983,6601,6535
38,Totale,8712,8670,8746,9128,9037,8687,8465,7898,7698,7154,6911,6538
39,Totale,8292,8732,8660,8717,9119,9001,8662,8429,7880,7667,7121,6900
40,Totale,8827,8310,8745,8624,8701,9079,8995,8618,8382,7854,7635,7123
41,Totale,8753,8840,8323,8724,8632,8671,9050,8956,8570,8344,7875,7628
42,Totale,8709,8775,8838,8314,8713,8608,8647,9003,8903,8529,8313,7849
43,Totale,8969,8744,8809,8794,8310,8672,8584,8628,8967,8876,8524,8317
44,Totale,9041,8981,8746,8799,8769,8294,8653,8533,8616,8946,8845,8520
45,Totale,8998,9075,8980,8735,8772,8747,8283,8619,8502,8575,8929,8865
46,Totale,8355,8991,9081,8953,8728,8754,8735,8260,8608,8492,8550,8941
47,Totale,8281,8358,8994,9053,8926,8714,8713,8710,8261,8575,8463,8557
48,Totale,8493,8294,8363,8958,9026,8893,8673,8697,8698,8251,8539,8459
49,Totale,8252,8491,8307,8346,8934,9002,8845,8641,8696,8679,8228,8495
50,Totale,8050,8268,8492,8267,8355,8905,8991,8812,8618,8653,8651,8208
51,Totale,7731,8050,8269,8460,8255,8327,8878,8968,8779,8581,8628,8612
